district,customer_since,age,is_married,address,salary,ed,employment_status,is_retired,gender,reside,service
2,47,40,Yes,16,127.000,4,12,No,M,4,E-Service
2,55,39,Yes,15,137.000,2,20,No,M,2,Advanced Service
2,56,50,Yes,1,80.000,2,24,No,M,4,Complete Service
3,35,55,No,24,30.000,2,2,No,F,1,Fundamental Service
2,69,51,Yes,11,438.000,4,23,No,M,2,Complete Service
2,44,39,No,16,79.000,2,16,No,F,1,Complete Service
3,36,47,Yes,16,63.000,1,23,No,F,2,Fundamental Service
3,28,51,Yes,22,40.000,3,10,No,M,6,Advanced Service
1,72,67,Yes,44,51.000,1,34,Yes,F,2,Advanced Service
1,16,27,No,5,37.000,3,5,No,F,4,Fundamental Service
3,3,43,No,19,61.000,4,11,No,M,1,Fundamental Service
1,40,57,Yes,15,22.000,2,9,No,F,2,Fundamental Service
3,16,39,No,6,44.000,4,3,No,M,1,E-Service
1,20,42,No,4,17.000,3,5,No,F,1,Fundamental Service
2,48,43,No,13,110.000,5,15,No,M,3,E-Service
2,64,48,Yes,13,91.000,2,24,No,F,2,Advanced Service
1,8,46,No,3,46.000,2,8,No,F,1,Fundamental Service
1,40,38,Yes,10,85.000,3,12,No,F,2,Advanced Service
2,38,71,No,27,10.000,2,12,Yes,F,1,Fundamental Service
1,67,68,No,28,244.000,1,47,No,M,1,Advanced Service
1,26,42,No,0,80.000,4,15,No,M,1,Complete Service
3,41,34,Yes,15,83.000,5,1,No,M,2,Complete Service
2,2,31,No,2,21.000,1,6,No,F,1,Fundamental Service
3,20,48,Yes,29,24.000,2,3,No,F,2,Complete Service
2,31,53,No,2,351.000,3,31,No,M,1,Advanced Service
2,45,52,Yes,4,169.000,4,29,No,M,4,E-Service
2,33,27,Yes,7,46.000,2,7,No,F,4,Fundamental Service
1,10,26,No,6,34.000,3,3,No,F,1,E-Service
2,62,54,Yes,2,50.000,4,3,No,F,2,Complete Service
2,4,35,No,16,161.000,5,6,No,M,1,Complete Service
1,42,47,Yes,17,212.000,4,17,No,F,2,Advanced Service
3,27,51,Yes,3,80.000,5,11,No,F,3,E-Service
2,38,42,No,1,30.000,4,7,No,M,1,Fundamental Service
3,52,61,Yes,3,53.000,5,1,No,M,2,E-Service
3,35,33,No,9,73.000,5,4,No,M,1,Complete Service
3,3,20,Yes,1,17.000,2,0,No,M,4,Fundamental Service
2,17,33,No,9,23.000,5,3,No,F,1,Complete Service
1,55,53,Yes,21,34.000,1,8,No,F,2,Advanced Service
3,43,36,Yes,5,107.000,1,19,No,M,3,E-Service
2,47,25,Yes,5,21.000,1,1,No,M,2,Advanced Service
3,65,58,No,30,83.000,2,16,No,M,1,E-Service
1,13,20,No,1,17.000,3,0,No,F,5,Complete Service
3,64,25,Yes,4,76.000,3,2,No,M,6,Advanced Service
2,12,24,No,2,19.000,1,0,No,F,1,Advanced Service
1,29,32,Yes,0,49.000,4,3,No,M,3,E-Service
2,23,47,No,21,173.000,3,22,No,M,1,E-Service
2,14,35,No,4,47.000,3,10,No,M,1,E-Service
1,35,61,No,23,41.000,2,11,No,F,1,Fundamental Service
3,26,39,No,8,105.000,3,13,No,M,1,Complete Service
1,13,54,No,2,31.000,4,2,No,F,1,Fundamental Service
2,69,40,Yes,13,41.000,2,17,No,F,3,E-Service
3,61,50,Yes,30,102.000,4,9,No,M,3,E-Service
2,45,22,Yes,2,36.000,4,0,No,M,5,E-Service
2,3,37,No,13,24.000,1,3,No,M,1,Fundamental Service
2,53,22,No,1,25.000,4,0,No,F,2,E-Service
1,59,42,No,1,68.000,2,21,No,M,1,Advanced Service
1,13,34,No,11,20.000,3,0,No,M,1,Fundamental Service
3,31,31,No,4,48.000,1,15,No,F,1,Advanced Service
1,40,29,Yes,6,40.000,2,8,No,M,5,Advanced Service
1,48,55,No,15,79.000,1,25,No,F,1,Advanced Service
3,3,31,No,1,28.000,1,0,No,F,1,Fundamental Service
2,51,48,No,12,64.000,2,22,No,M,1,Fundamental Service
3,33,41,No,15,37.000,2,11,No,F,1,Fundamental Service
3,14,47,Yes,7,48.000,1,13,No,F,2,Fundamental Service
1,17,42,Yes,6,131.000,5,6,No,F,3,E-Service
3,19,29,Yes,9,18.000,2,2,No,F,3,Fundamental Service
2,58,36,No,10,38.000,2,14,No,M,1,E-Service
3,22,23,No,3,37.000,2,4,No,M,3,Complete Service
2,29,31,Yes,1,60.000,4,6,No,F,5,E-Service
3,14,22,Yes,2,13.000,3,0,No,M,4,E-Service
2,70,64,Yes,18,98.000,1,31,No,M,2,Complete Service
1,62,52,Yes,2,195.000,1,23,No,F,2,Advanced Service
2,7,35,Yes,0,47.000,1,14,No,F,5,Fundamental Service
1,56,47,Yes,19,65.000,2,22,No,F,3,Complete Service
1,50,50,Yes,22,150.000,5,5,No,M,4,E-Service
2,57,39,No,6,106.000,5,8,No,F,1,Advanced Service
3,2,40,No,19,51.000,4,14,No,M,1,Fundamental Service
2,40,38,No,17,96.000,4,0,No,M,1,Fundamental Service
2,6,43,No,4,33.000,5,7,No,F,2,Advanced Service
3,23,25,Yes,6,38.000,2,1,No,M,3,Advanced Service
3,11,32,No,6,125.000,4,5,No,F,1,Complete Service
1,29,37,Yes,13,145.000,5,0,No,M,4,Complete Service
1,42,44,Yes,2,99.000,2,21,No,F,3,Advanced Service
1,20,34,Yes,2,22.000,4,0,No,M,3,Complete Service
2,72,60,Yes,21,31.000,1,38,Yes,F,2,E-Service
1,2,36,No,3,25.000,1,6,No,M,1,Advanced Service
3,46,25,No,5,57.000,5,0,No,M,2,Fundamental Service
2,39,51,Yes,21,41.000,5,20,No,F,6,Complete Service
3,24,25,Yes,1,20.000,3,1,No,M,2,E-Service
3,59,43,Yes,4,101.000,2,22,No,M,5,E-Service
1,65,37,No,8,56.000,2,15,No,F,1,E-Service
2,50,27,Yes,5,22.000,2,5,No,M,3,Fundamental Service
1,57,37,No,11,108.000,4,9,No,M,1,Advanced Service
3,61,48,No,14,115.000,4,20,No,M,1,Complete Service
3,34,54,No,31,53.000,4,22,No,F,1,Complete Service
3,38,53,No,13,242.000,4,12,No,F,1,Complete Service
1,3,24,Yes,2,20.000,2,3,No,M,5,Advanced Service
2,4,47,No,5,123.000,4,11,No,F,1,Fundamental Service
2,15,35,No,0,34.000,1,12,No,F,1,Fundamental Service
1,25,29,Yes,8,31.000,4,3,No,M,5,E-Service
3,21,44,No,25,47.000,1,12,No,M,2,Advanced Service
3,50,37,Yes,11,48.000,3,8,No,M,2,Advanced Service
2,65,64,Yes,22,13.000,2,5,Yes,M,3,Advanced Service
2,59,52,Yes,18,78.000,1,25,No,F,2,Fundamental Service
3,29,26,No,7,34.000,1,7,No,M,2,Advanced Service
1,60,46,No,17,81.000,5,9,No,M,1,E-Service
1,71,45,Yes,14,86.000,2,25,No,F,2,E-Service
3,38,27,Yes,0,26.000,4,2,No,F,4,Complete Service
3,16,34,Yes,5,51.000,2,8,No,M,5,Fundamental Service
3,7,31,No,10,59.000,3,10,No,F,1,Fundamental Service
1,59,53,No,21,112.000,4,16,No,F,1,E-Service
2,22,56,Yes,14,57.000,4,28,No,F,2,Complete Service
1,18,48,Yes,20,41.000,1,2,No,M,2,Fundamental Service
2,64,46,Yes,19,168.000,2,26,No,M,2,Complete Service
2,7,33,No,4,29.000,4,4,No,M,3,Fundamental Service
3,65,58,No,13,167.000,2,14,No,M,2,E-Service
3,7,24,No,5,29.000,2,3,No,F,3,Fundamental Service
1,64,55,No,28,104.000,1,26,No,M,1,Advanced Service
3,42,22,Yes,0,46.000,4,0,No,F,2,Complete Service
3,33,26,No,5,46.000,4,1,No,M,3,Complete Service
1,3,33,No,8,51.000,4,0,No,M,1,Fundamental Service
2,69,42,Yes,11,65.000,2,18,No,F,2,Complete Service
2,9,33,No,1,48.000,2,13,No,F,2,Fundamental Service
3,22,34,Yes,1,46.000,3,1,No,F,4,E-Service
2,53,63,Yes,15,43.000,2,18,No,F,2,E-Service
3,71,53,No,30,110.000,1,34,No,F,1,E-Service
3,24,26,No,2,32.000,3,2,No,F,3,Fundamental Service
3,12,22,Yes,1,18.000,3,0,No,M,2,Fundamental Service
1,25,39,Yes,1,26.000,4,0,No,F,4,E-Service
3,63,28,Yes,9,34.000,2,10,No,M,6,Advanced Service
1,33,54,Yes,18,57.000,4,4,No,M,3,Advanced Service
2,57,54,Yes,20,21.000,2,0,No,M,3,Fundamental Service
3,13,33,No,7,38.000,3,10,No,M,1,Complete Service
1,13,21,No,2,19.000,3,0,No,M,1,E-Service
1,71,39,No,2,40.000,3,17,No,F,1,Advanced Service
3,18,69,Yes,11,58.000,3,8,No,F,2,Complete Service
1,17,51,Yes,10,95.000,2,15,No,M,2,Fundamental Service
2,22,43,No,4,114.000,2,19,No,F,1,Fundamental Service
2,65,65,Yes,27,128.000,3,24,No,F,2,Advanced Service
3,7,40,No,9,33.000,4,2,No,M,1,Fundamental Service
3,72,66,No,30,460.000,4,41,No,M,1,Complete Service
1,35,43,No,12,224.000,3,17,No,F,1,Fundamental Service
1,24,39,No,2,122.000,4,12,No,F,3,Complete Service
1,64,24,Yes,0,23.000,3,1,No,M,5,E-Service
2,63,63,Yes,19,191.000,3,27,No,F,2,E-Service
1,38,31,Yes,7,187.000,4,6,No,F,3,Complete Service
2,29,37,Yes,9,119.000,3,12,No,F,3,Fundamental Service
1,72,69,Yes,49,44.000,2,44,Yes,M,2,Advanced Service
1,10,27,Yes,2,15.000,3,2,No,M,2,Complete Service
3,72,64,No,41,674.000,4,37,No,M,1,Advanced Service
3,52,23,Yes,4,33.000,4,0,No,M,2,Advanced Service
3,13,55,No,3,250.000,2,35,No,M,2,Fundamental Service
1,3,33,No,6,64.000,4,0,No,F,2,Fundamental Service
3,39,24,Yes,2,26.000,2,4,No,F,4,Fundamental Service
2,28,29,No,4,23.000,3,5,No,F,2,E-Service
2,46,42,No,9,52.000,4,7,No,F,3,E-Service
2,62,46,No,27,200.000,3,9,No,M,1,Fundamental Service
2,23,33,Yes,7,28.000,1,4,No,F,2,Advanced Service
3,23,25,Yes,5,19.000,5,0,No,F,3,Complete Service
2,72,61,Yes,39,76.000,3,21,No,F,2,Complete Service
3,56,60,No,26,70.000,2,20,No,F,1,Fundamental Service
1,8,30,No,1,34.000,2,9,No,M,1,Advanced Service
3,3,36,No,7,34.000,5,3,No,M,3,Complete Service
3,37,37,No,7,172.000,3,13,No,F,1,Fundamental Service
3,37,53,Yes,13,48.000,1,10,No,F,3,Advanced Service
2,6,30,No,9,45.000,2,2,No,M,1,Fundamental Service
1,48,47,No,9,72.000,3,13,No,F,5,Complete Service
2,43,43,Yes,3,55.000,4,18,No,M,4,Complete Service
2,21,29,No,7,40.000,4,2,No,M,4,Fundamental Service
3,6,33,No,12,26.000,3,0,No,F,1,Advanced Service
2,69,51,No,18,96.000,1,33,No,F,4,Advanced Service
1,22,33,No,9,54.000,1,10,No,F,1,Advanced Service
1,28,40,Yes,1,47.000,2,9,No,M,3,Advanced Service
1,71,47,Yes,23,142.000,1,30,No,F,2,E-Service
2,7,37,No,5,57.000,4,1,No,F,1,Fundamental Service
1,63,29,No,10,20.000,3,7,No,F,2,Complete Service
2,53,57,No,25,37.000,1,7,No,F,1,E-Service
2,50,52,Yes,17,36.000,4,16,No,F,4,Complete Service
2,39,31,Yes,6,24.000,4,2,No,F,2,Complete Service
3,16,19,No,0,21.000,2,0,No,M,1,Fundamental Service
3,43,51,Yes,15,186.000,3,25,No,F,2,Complete Service
3,44,31,No,12,30.000,1,7,No,M,3,Fundamental Service
2,72,66,Yes,43,96.000,2,16,No,M,2,Complete Service
3,61,76,No,39,15.000,1,29,Yes,F,1,Advanced Service
3,43,21,Yes,1,25.000,1,4,No,F,4,E-Service
3,24,39,No,11,49.000,3,7,No,M,1,Fundamental Service
3,64,45,No,4,38.000,2,7,No,M,1,Advanced Service
2,64,38,No,0,29.000,2,2,No,F,2,E-Service
1,24,26,No,7,55.000,2,7,No,M,1,Fundamental Service
3,33,55,Yes,21,64.000,3,10,No,M,3,Fundamental Service
2,33,33,Yes,12,42.000,4,7,No,M,5,E-Service
1,2,40,No,9,134.000,4,2,No,F,1,Fundamental Service
2,42,48,Yes,22,82.000,1,21,No,M,5,Complete Service
1,52,54,Yes,5,153.000,5,10,No,F,2,E-Service
1,45,66,No,43,144.000,2,13,No,M,1,E-Service
3,3,25,No,4,22.000,4,0,No,F,2,Complete Service
2,37,53,Yes,16,35.000,1,16,No,M,4,Advanced Service
2,28,57,No,33,82.000,4,22,No,M,1,E-Service
3,40,63,Yes,9,61.000,1,22,No,F,2,Fundamental Service
2,37,33,No,1,102.000,2,12,No,F,1,Complete Service
3,7,27,No,5,31.000,3,4,No,F,5,Complete Service
1,71,56,No,23,170.000,1,30,No,M,1,Complete Service
2,19,46,No,11,26.000,2,0,No,M,1,Fundamental Service
2,61,40,No,15,85.000,3,15,No,M,1,Advanced Service
3,70,53,Yes,16,183.000,2,35,No,M,2,E-Service
2,60,55,Yes,13,67.000,1,18,No,M,2,Fundamental Service
3,48,45,Yes,5,42.000,1,11,No,M,2,Fundamental Service
1,8,63,Yes,1,31.000,1,9,No,F,2,Advanced Service
2,58,58,Yes,10,96.000,2,17,No,F,4,Advanced Service
1,16,24,Yes,5,24.000,3,2,No,F,5,Advanced Service
2,33,33,No,4,53.000,2,14,No,M,1,Fundamental Service
2,39,25,No,4,18.000,1,0,No,M,1,Advanced Service
1,62,51,No,10,43.000,4,19,No,F,2,E-Service
1,50,34,No,10,104.000,3,9,No,F,1,Complete Service
2,48,55,No,31,26.000,1,1,No,F,1,Fundamental Service
3,31,62,No,5,56.000,2,26,No,M,1,Advanced Service
2,65,33,Yes,9,49.000,2,6,No,F,5,E-Service
1,36,58,No,34,80.000,1,21,No,M,1,E-Service
1,61,46,No,5,318.000,3,18,No,M,1,Advanced Service
2,48,42,No,21,35.000,4,5,No,F,1,Advanced Service
3,35,45,No,17,29.000,1,6,No,F,1,Fundamental Service
1,51,28,No,8,43.000,5,1,No,F,5,Complete Service
2,49,51,Yes,5,80.000,5,3,No,F,2,Complete Service
1,35,39,Yes,11,30.000,3,2,No,M,3,Advanced Service
1,58,70,No,2,9.000,3,24,Yes,M,1,E-Service
1,23,35,Yes,0,23.000,2,1,No,F,5,Advanced Service
2,26,39,Yes,15,58.000,4,9,No,M,2,Advanced Service
1,38,37,Yes,1,52.000,1,20,No,M,4,Complete Service
1,35,66,Yes,44,14.000,3,12,Yes,M,2,Advanced Service
2,37,50,No,9,110.000,2,21,No,M,1,Advanced Service
2,48,43,Yes,1,60.000,2,12,No,F,2,E-Service
3,13,43,Yes,1,123.000,3,21,No,F,5,Complete Service
1,72,63,Yes,29,15.000,5,31,Yes,F,2,Advanced Service
1,30,27,No,4,47.000,4,2,No,M,2,E-Service
1,24,43,No,14,138.000,4,11,No,M,1,Advanced Service
2,25,51,Yes,20,359.000,3,29,No,F,2,Complete Service
2,50,52,No,30,214.000,3,22,No,F,1,Complete Service
2,28,40,No,7,64.000,1,19,No,F,1,Advanced Service
3,34,51,No,8,50.000,4,14,No,F,1,Fundamental Service
1,48,32,No,2,88.000,3,9,No,F,1,Complete Service
2,42,36,Yes,8,86.000,2,15,No,M,2,E-Service
3,67,65,Yes,30,17.000,1,29,Yes,M,2,Advanced Service
1,17,41,Yes,7,25.000,2,17,No,F,3,Advanced Service
1,29,38,Yes,19,46.000,2,6,No,F,2,E-Service
3,66,61,No,26,361.000,1,40,No,M,1,E-Service
2,1,21,No,1,18.000,3,0,No,M,1,Fundamental Service
1,28,33,Yes,3,14.000,4,1,No,F,3,Complete Service
1,15,35,Yes,5,34.000,3,8,No,F,2,E-Service
2,12,64,No,13,9.000,2,6,Yes,M,1,Advanced Service
3,48,49,No,18,39.000,2,5,No,M,1,Complete Service
2,59,25,Yes,4,18.000,3,2,No,F,4,Fundamental Service
3,8,26,Yes,1,25.000,4,1,No,F,2,Fundamental Service
1,45,52,No,15,46.000,5,8,No,M,1,E-Service
1,25,39,Yes,8,94.000,4,11,No,M,4,E-Service
1,21,44,Yes,4,26.000,3,2,No,F,2,Complete Service
2,17,68,Yes,1,335.000,1,35,No,M,3,Complete Service
2,41,45,No,14,25.000,3,6,No,F,1,Fundamental Service
1,13,45,Yes,3,99.000,3,8,No,M,2,Advanced Service
2,1,26,Yes,3,30.000,2,7,No,M,5,Fundamental Service
3,3,31,Yes,4,35.000,2,2,No,M,3,Complete Service
1,23,27,Yes,2,51.000,5,1,No,M,2,Fundamental Service
3,26,42,No,20,49.000,3,13,No,F,1,Complete Service
1,37,51,Yes,15,54.000,1,15,No,F,3,Advanced Service
3,5,30,No,3,46.000,4,7,No,F,1,E-Service
1,32,27,Yes,3,91.000,4,1,No,M,3,Complete Service
3,12,22,No,1,23.000,4,0,No,F,2,Fundamental Service
1,72,54,Yes,6,345.000,1,32,No,F,2,Advanced Service
3,3,25,Yes,2,45.000,4,0,No,M,2,Fundamental Service
1,54,43,No,12,53.000,2,12,No,F,1,Advanced Service
2,26,26,No,2,14.000,2,6,No,M,1,Complete Service
3,14,36,No,13,67.000,5,4,No,M,1,Fundamental Service
3,22,51,No,27,49.000,3,1,No,F,1,Fundamental Service
3,65,47,Yes,18,37.000,1,15,No,M,4,Fundamental Service
3,26,45,No,18,33.000,1,9,No,F,1,Fundamental Service
1,20,37,No,5,46.000,3,10,No,M,4,Complete Service
2,67,60,Yes,32,93.000,1,21,No,F,4,E-Service
1,34,55,No,2,48.000,2,11,No,F,1,Fundamental Service
1,37,54,Yes,35,183.000,2,22,No,F,3,Advanced Service
2,22,23,Yes,3,16.000,1,5,No,F,4,Fundamental Service
2,5,69,No,0,11.000,2,14,Yes,F,1,Fundamental Service
1,28,31,Yes,0,42.000,4,5,No,M,3,Advanced Service
1,20,41,Yes,7,67.000,4,14,No,M,4,Fundamental Service
3,72,41,No,20,181.000,4,12,No,F,1,Complete Service
2,30,43,No,18,53.000,4,6,No,F,1,Fundamental Service
3,71,52,No,17,172.000,2,32,No,F,1,Complete Service
2,56,44,No,24,87.000,2,19,No,F,1,Advanced Service
1,8,29,Yes,2,21.000,5,0,No,F,2,Fundamental Service
2,32,65,No,6,9.000,2,30,Yes,M,1,E-Service
2,46,47,No,22,144.000,3,22,No,M,2,Advanced Service
3,60,45,Yes,23,117.000,4,11,No,F,3,Complete Service
2,42,32,Yes,0,59.000,4,4,No,M,6,Complete Service
3,71,60,Yes,39,508.000,4,35,No,F,4,Complete Service
2,72,63,Yes,40,222.000,2,43,Yes,M,2,Advanced Service
3,45,66,No,11,87.000,3,25,Yes,M,1,Fundamental Service
3,5,31,No,4,34.000,1,9,No,F,1,Advanced Service
2,17,38,Yes,19,18.000,4,0,No,M,4,E-Service
2,70,55,No,12,65.000,3,24,No,F,1,Advanced Service
3,57,57,Yes,19,130.000,3,27,No,M,2,E-Service
1,20,33,No,13,44.000,3,8,No,M,1,E-Service
1,72,52,Yes,21,63.000,1,24,No,F,3,Advanced Service
3,32,50,No,28,57.000,4,20,No,F,1,Advanced Service
3,22,57,Yes,7,264.000,1,35,No,M,2,Advanced Service
2,6,24,No,2,28.000,1,5,No,F,2,Advanced Service
3,32,23,Yes,2,26.000,3,1,No,M,6,Complete Service
1,38,33,No,3,38.000,4,0,No,F,1,E-Service
1,53,35,No,15,59.000,3,5,No,M,1,Advanced Service
3,37,76,No,38,117.000,4,21,No,M,1,Fundamental Service
1,47,35,Yes,13,70.000,4,9,No,M,2,Complete Service
3,69,59,No,37,104.000,2,13,No,F,1,Advanced Service
3,63,56,No,17,71.000,3,18,No,M,1,Fundamental Service
1,61,34,Yes,0,70.000,3,7,No,M,3,Complete Service
1,56,38,Yes,8,56.000,4,10,No,F,2,Complete Service
3,40,57,Yes,18,68.000,1,23,No,F,2,Advanced Service
2,61,45,No,21,80.000,2,13,No,M,1,E-Service
2,16,26,No,7,21.000,4,1,No,F,6,Complete Service
2,7,43,No,4,69.000,3,5,No,M,1,Fundamental Service
3,20,31,Yes,10,39.000,2,3,No,M,2,Fundamental Service
2,35,38,No,7,90.000,2,18,No,F,4,E-Service
1,60,37,Yes,12,64.000,5,1,No,M,2,E-Service
2,47,25,No,2,28.000,2,6,No,F,1,Complete Service
2,33,28,Yes,3,24.000,2,0,No,M,6,Fundamental Service
3,12,34,No,2,44.000,2,7,No,F,1,Fundamental Service
1,10,31,No,0,32.000,4,7,No,M,2,E-Service
2,69,33,Yes,9,52.000,4,9,No,M,3,Advanced Service
1,23,20,No,1,15.000,3,0,No,M,1,E-Service
1,53,31,No,10,46.000,3,6,No,F,2,E-Service
2,60,57,Yes,14,107.000,2,33,No,M,2,Advanced Service
2,33,33,No,7,56.000,2,11,No,F,1,Fundamental Service
3,67,40,Yes,21,40.000,4,7,No,M,4,Complete Service
3,15,38,Yes,5,56.000,3,13,No,F,3,Advanced Service
3,64,31,Yes,5,46.000,2,7,No,M,4,E-Service
2,46,49,Yes,13,51.000,2,21,No,F,2,Fundamental Service
2,72,60,Yes,33,12.000,1,20,Yes,F,3,Complete Service
1,61,43,Yes,6,34.000,5,6,No,F,3,Complete Service
3,54,27,No,3,27.000,2,6,No,M,5,Complete Service
3,28,36,No,3,42.000,3,7,No,M,1,Advanced Service
2,28,38,No,8,119.000,5,2,No,F,3,Complete Service
2,32,43,No,13,146.000,1,27,No,M,1,Advanced Service
2,52,46,No,17,51.000,2,13,No,M,3,E-Service
1,48,62,No,33,86.000,1,22,Yes,M,1,Advanced Service
3,52,42,Yes,17,27.000,3,8,No,M,2,Advanced Service
1,37,43,No,8,38.000,3,9,No,F,1,E-Service
1,41,52,No,26,928.000,3,29,No,F,3,Advanced Service
2,43,27,Yes,3,21.000,2,1,No,M,3,E-Service
3,67,60,No,24,24.000,1,6,No,M,1,Advanced Service
3,61,52,Yes,30,91.000,1,25,No,M,2,Fundamental Service
3,70,39,Yes,20,38.000,2,8,No,M,4,Advanced Service
3,44,32,Yes,1,96.000,4,5,No,M,4,Complete Service
3,46,45,No,12,96.000,3,17,No,F,1,E-Service
3,39,34,No,2,54.000,3,5,No,F,1,Fundamental Service
2,39,59,No,20,1668.000,4,27,No,M,1,E-Service
2,50,29,Yes,10,53.000,4,0,No,M,4,Complete Service
3,5,31,No,1,21.000,3,1,No,M,2,Fundamental Service
2,10,34,No,1,52.000,5,3,No,M,1,E-Service
1,72,69,No,45,17.000,3,36,Yes,M,1,E-Service
2,68,60,No,40,262.000,2,39,No,M,1,Advanced Service
3,58,28,No,5,34.000,5,1,No,M,1,E-Service
3,18,44,Yes,10,107.000,1,19,No,M,7,Fundamental Service
1,65,45,Yes,25,67.000,5,13,No,M,2,Advanced Service
3,8,45,No,1,37.000,4,0,No,F,1,E-Service
2,1,20,No,1,21.000,2,0,No,M,2,Fundamental Service
3,42,58,No,7,22.000,1,4,No,M,1,E-Service
1,4,25,Yes,3,71.000,3,3,No,M,5,Fundamental Service
3,17,35,No,4,77.000,3,8,No,M,1,Advanced Service
2,8,24,Yes,1,18.000,4,0,No,M,5,Complete Service
1,49,37,Yes,17,50.000,2,12,No,M,2,E-Service
1,56,46,Yes,21,33.000,4,7,No,F,2,E-Service
1,62,57,Yes,21,94.000,1,22,No,F,2,Complete Service
2,42,57,Yes,25,209.000,1,40,No,M,4,Fundamental Service
1,13,32,No,7,31.000,4,5,No,F,2,Advanced Service
1,69,46,Yes,18,66.000,2,19,No,F,4,E-Service
2,45,59,No,14,51.000,1,15,No,F,2,Fundamental Service
2,66,42,Yes,18,118.000,2,20,No,F,2,E-Service
2,15,35,No,10,25.000,2,3,No,F,1,Fundamental Service
1,41,44,Yes,1,59.000,3,21,No,M,3,E-Service
2,11,20,No,1,20.000,2,0,No,M,1,Complete Service
3,45,30,Yes,0,63.000,5,4,No,F,4,Complete Service
1,52,62,No,23,36.000,4,17,No,F,1,Fundamental Service
1,42,56,No,24,72.000,4,18,No,M,1,Complete Service
2,48,35,No,11,50.000,1,16,No,F,3,Advanced Service
